venue	year	award	title	paper_id	source_url
ACSAC	2024	Distinguished Paper	Single Sign-On Privacy: We Still Know What You Did Last Summer	1049970	https://www.acsac.org/archive/
ACSAC	2024	Distinguished Paper	I'll Be There for You! Perpetual Availability in the A⁸ MVX System	1049947	https://www.acsac.org/archive/
ACSAC	2023	Distinguished Paper	Protecting Your Voice from Speech Synthesis Attacks	1615773	https://www.acsac.org/archive/
ACSAC	2023	Distinguished Paper	SePanner: Analyzing Semantics of Controller Variables in Industrial Control Systems based on Network Traffic	1615776	https://www.acsac.org/archive/
ACSAC	2023	Distinguished Paper with Artifacts	Artemis: Defanging Software Supply Chain Attacks in Multi-repository Update Systems	1615778	https://www.acsac.org/archive/
ACSAC	2023	Distinguished Paper with Artifacts	Remote Attestation of Confidential VMs Using Ephemeral vTPMs	1615780	https://www.acsac.org/archive/
ACSAC	2022	Distinguished Paper	BayesImposter: Bayesian Estimation Based .bss Imposter Attack on Industrial Control Systems	2143813	https://www.acsac.org/archive/
ACSAC	2022	Distinguished Paper	Making Memory Account Accountable: Analyzing and Detecting Memory Missing-account bugs for Container Platforms	2143872	https://www.acsac.org/archive/
ACSAC	2022	Distinguished Paper with Artifacts	Assessing Model-free Anomaly Detection in Industrial Control Systems Against Generic Concealment Attacks	2143822	https://www.acsac.org/archive/
ACSAC	2021	Distinguished Paper	Two Souls in an Adversarial Image: Towards Universal Adversarial Example Detection using Multi-view Inconsistency	2618528	https://www.acsac.org/archive/
ACSAC	2021	Distinguished Paper with Artifacts	Repack Me If You Can: An Anti-Repackaging Solution based on Android Virtualization	2618559	https://www.acsac.org/archive/
ACSAC	2021	Distinguished Paper with Artifacts	argXtract: Deriving IoT Security Configurations via Automated Static Analysis of Stripped ARM Cortex-M Binaries	2618564	https://www.acsac.org/archive/
ACSAC	2020	Distinguished Paper	Measuring the Effectiveness of Privacy Policies for Voice Assistant Applications	3071301	https://www.acsac.org/archive/
ACSAC	2020	Distinguished Paper	Betrayed by the Guardian: Security and Privacy Risks of Parental Control Solutions	3071278	https://www.acsac.org/archive/
ACSAC	2020	Distinguished Paper with Artifacts	SAIBERSOC: Synthetic Attack Injection to Benchmark and Evaluate the Performance of Security Operation Centers	3071320	https://www.acsac.org/archive/
