venue	year	award	title	url	source_url
IEEE S&P	2025	Distinguished Paper Award	COBBL: Dynamic Constraint Generation for SNARKs	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	Transport Layer Obscurity: Circumventing SNI Censorship on the TLS Layer	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	Follow My Flow: Unveiling Client-Side Prototype Pollution Gadgets from One Million Real-World Websites	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	CipherSteal: Stealing Input Data from TEE-Shielded Neural Networks with Ciphertext Side Channels	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	Characterizing Robocalls with Multiple Vantage Points	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	Verifiable Boosted Tree Ensembles	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	Breaking the Barrier: Post-Barrier Spectre Attacks	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	Unveiling Security Vulnerabilities in Git Large File Storage Protocol	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	The Inadequacy of Similarity-based Privacy Metrics: Privacy Attacks against Truly Anonymous Synthetic Datasets	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	Empc: Effective Path Prioritization for Symbolic Execution with Path Cover	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	SLAP: Data Speculation Attacks via Load Address Prediction on Apple Silicon	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	Detecting Taint-Style Vulnerabilities in Microservice-Structured Web Applications	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2025	Distinguished Paper Award	DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks	https://sp2025.ieee-security.org/awards.html	https://sp2025.ieee-security.org/awards.html
IEEE S&P	2026	Distinguished Paper Award	Enter, Exit, Page Fault, Leak: Testing Isolation Boundaries for Microarchitectural Leaks	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	Your Compiler is Backdooring Your Model: Understanding and Exploiting Compilation Inconsistency Vulnerabilities in Deep Learning Compilers	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	Demystifying and Exploiting ASLR on NVIDIA GPUs	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	Phoenix: Rowhammer Attacks on DDR5 with Self-Correcting Synchronization	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	Nebula: Proving machine executions via folding schemes	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	LLMs in the SOC: An Empirical Study of Human-AI Collaboration in Security Operations Centres	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	Auditing Apple's DifferentialPrivacy.framework: Implementation Bugs, Misconfigurations, and Practical Risks	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	Lost in Translation: Text Message Spoofing via Email	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	BreakFAST: Confused Deputy Attack on Infinity Fabric to Break AMD SEV-SNP	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	Weighted Batched Threshold Encryption with Applications to Mempool Privacy	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	TREVEX: A Black-Box Detection Framework For Data-Flow Transient Execution Vulnerabilities	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
IEEE S&P	2026	Distinguished Paper Award	GPUBreach: Privilege Escalation Attacks on GPUs using Rowhammer	https://www.ieee-security.org/TC/SP2026/awards_papers.html	https://www.ieee-security.org/TC/SP2026/awards_papers.html
